,REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE,date_m,date_y,date,WEIGHT(KG),TOTAL_PRICE,temp
0,2015-12-28,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,8.844281260608142,2015-12,2015,2015-12-28,151136.0,1318938.0,8.332377000000001
1,2016-01-04,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,8.96624071835607,2016-01,2016,2016-01-04,136245.0,1219485.0,7.9954529999999995
2,2016-01-04,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,9.519694654556613,2016-01,2016,2016-01-04,136245.0,1219485.0,7.9954529999999995
3,2016-01-11,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,8.846151029077859,2016-01,2016,2016-01-11,187044.0,1622635.0,6.814752599999999
4,2016-01-11,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,9.374626499543377,2016-01,2016,2016-01-11,187044.0,1622635.0,6.814752599999999
5,2016-01-18,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,8.218035974720467,2016-01,2016,2016-01-18,110058.0,1151799.0,6.699026600000001
6,2016-01-18,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,10.018472285320119,2016-01,2016,2016-01-18,110058.0,1151799.0,6.699026600000001
7,2016-01-25,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,8.891171101818966,2016-01,2016,2016-01-25,77645.0,719721.0,6.539354
8,2016-02-01,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,8.192024273948851,2016-02,2016,2016-02-01,58596.0,602046.0,6.533494
9,2016-02-01,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,8.983761152775237,2016-02,2016,2016-02-01,58596.0,602046.0,6.533494
10,2016-02-15,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,9.40148588410104,2016-02,2016,2016-02-15,90876.0,807008.0,6.2266
11,2016-02-15,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,9.206088807073117,2016-02,2016,2016-02-15,90876.0,807008.0,6.2266
