,REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE,date_m,date_y,date,WEIGHT(KG),TOTAL_PRICE,temp
0,2015-12-28,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.7937285190191157,2015-12,2015,2015-12-28,33475.0,29328.0,4.4350414
1,2015-12-28,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.233433734939759,2015-12,2015,2015-12-28,46200.0,0.0,14.602098999999999
2,2015-12-28,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.481140285071268,2015-12,2015,2015-12-28,66560.0,189200.0,14.602098999999999
3,2015-12-28,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.7627579845497521,2015-12,2015,2015-12-28,48000.0,40080.0,14.845270999999999
4,2015-12-28,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.9623863110837059,2015-12,2015,2015-12-28,48000.0,48000.0,14.845270999999999
5,2016-01-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.9456442166910688,2016-01,2016,2016-01-04,4320.0,0.0,15.343333
6,2016-01-04,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.716541353383459,2016-01,2016,2016-01-04,22000.0,0.0,14.7397995
7,2016-01-04,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.226860254083484,2016-01,2016,2016-01-04,22000.0,0.0,14.7397995
8,2016-01-04,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.0333333333333334,2016-01,2016,2016-01-04,22000.0,0.0,14.7397995
9,2016-01-04,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.0743334108821845,2016-01,2016,2016-01-04,22000.0,0.0,14.7397995
10,2016-01-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.675937087963835,2016-01,2016,2016-01-04,7120.0,0.0,15.343333
11,2016-01-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.0245687688235832,2016-01,2016,2016-01-04,61160.0,60548.0,15.343333
12,2016-01-11,수산물,칠레,칠레,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.7136363636363636,2016-01,2016,2016-01-11,24000.0,0.0,14.902401999999999
13,2016-01-11,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.7955882352941176,2016-01,2016,2016-01-11,24000.0,0.0,14.902401999999999
14,2016-01-11,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.9318181818181818,2016-01,2016,2016-01-11,90000.0,117000.0,14.207313000000001
15,2016-01-11,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.145505617977528,2016-01,2016,2016-01-11,90000.0,117000.0,14.207313000000001
16,2016-01-11,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.740990990990991,2016-01,2016,2016-01-11,22400.0,0.0,14.207313000000001
17,2016-01-11,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.9436216653193209,2016-01,2016,2016-01-11,48500.0,46580.0,14.902401999999999
18,2016-01-18,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.3316265060240964,2016-01,2016,2016-01-18,21000.0,0.0,14.216834
19,2016-01-18,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.855824508320726,2016-01,2016,2016-01-18,21000.0,0.0,14.216834
20,2016-01-25,수산물,칠레,일본,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.5025714285714286,2016-01,2016,2016-01-25,24500.0,0.0,13.937773000000002
21,2016-01-25,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.791230551626591,2016-01,2016,2016-01-25,42880.0,0.0,14.170689999999999
22,2016-01-25,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.220075365049459,2016-01,2016,2016-01-25,42880.0,0.0,14.170689999999999
23,2016-02-01,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.25,2016-02,2016,2016-02-01,88400.0,83000.0,14.116489000000001
24,2016-02-01,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.1108499095840867,2016-02,2016,2016-02-01,88400.0,83000.0,14.116489000000001
25,2016-02-01,수산물,대만,대만,판매용,연체류 해물모듬,오징어,오징어,냉동,1.8499958562391225,2016-02,2016,2016-02-01,24287.0,0.0,20.233131
26,2016-02-01,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.7513673655423884,2016-02,2016,2016-02-01,73000.0,54870.0,13.827173000000002
27,2016-02-01,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.856521739130435,2016-02,2016,2016-02-01,16440.0,0.0,3.8593402
28,2016-02-01,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.0110104861773117,2016-02,2016,2016-02-01,48000.0,45600.0,13.827173000000002
29,2016-02-01,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.089123867069486,2016-02,2016,2016-02-01,66500.0,105600.0,14.116489000000001
30,2016-02-01,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.388277202072539,2016-02,2016,2016-02-01,66500.0,105600.0,14.116489000000001
31,2016-02-15,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.0,2016-02,2016,2016-02-15,8040.0,0.0,13.51149
32,2016-02-15,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.6475129198966408,2016-02,2016,2016-02-15,11960.0,0.0,13.51149
33,2016-02-15,수산물,칠레,칠레,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.8544827586206897,2016-02,2016,2016-02-15,11960.0,0.0,13.51149
34,2016-02-15,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.968205574912892,2016-02,2016,2016-02-15,18368.0,54520.0,4.9052706
35,2016-02-15,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.63986562150056,2016-02,2016,2016-02-15,44500.0,0.0,14.383830999999999
36,2016-02-15,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.6172932330827066,2016-02,2016,2016-02-15,44500.0,0.0,14.383830999999999
37,2016-02-15,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.9941199151725467,2016-02,2016,2016-02-15,100700.0,85500.0,13.51149
38,2016-02-22,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.7,2016-02,2016,2016-02-22,44800.0,0.0,14.938292
39,2016-02-22,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.099013452914798,2016-02,2016,2016-02-22,44800.0,0.0,14.938292
40,2016-02-22,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미,자숙",1.397583081570997,2016-02,2016,2016-02-22,21800.0,0.0,14.938292
41,2016-02-22,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.6979937304075235,2016-02,2016,2016-02-22,58700.0,39610.0,13.564226000000001
42,2016-02-29,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.6985074626865675,2016-02,2016,2016-02-29,67000.0,252000.0,15.346995000000001
43,2016-02-29,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.593233082706767,2016-02,2016,2016-02-29,67000.0,252000.0,15.346995000000001
44,2016-02-29,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.1210047003525265,2016-02,2016,2016-02-29,52340.0,65075.0,13.992706
45,2016-02-29,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.6820627080425212,2016-02,2016,2016-02-29,6000.0,0.0,13.992706
46,2016-03-07,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.0,2016-03,2016,2016-03-07,24000.0,0.0,13.84402
47,2016-03-07,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.4377926421404683,2016-03,2016,2016-03-07,111700.0,218670.0,15.744713
48,2016-03-07,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.684125197027696,2016-03,2016,2016-03-07,111700.0,218670.0,15.744713
49,2016-03-07,수산물,중국,중국,외화획득용 원료,연체류 해물모듬,오징어,오징어,냉동,1.066600940751651,2016-03,2016,2016-03-07,168376.0,179590.0,4.9030733
50,2016-03-07,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미,자숙",1.2,2016-03,2016,2016-03-07,44800.0,53760.0,15.744713
51,2016-03-14,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.665,2016-03,2016,2016-03-14,24000.0,0.0,6.0405593
52,2016-03-14,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.54,2016-03,2016,2016-03-14,115000.0,59400.0,15.726401000000001
53,2016-03-14,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.746929316338354,2016-03,2016,2016-03-14,83500.0,152400.0,15.726401000000001
54,2016-03-14,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.431137724550898,2016-03,2016,2016-03-14,83500.0,152400.0,15.726401000000001
55,2016-03-21,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.8781672508763143,2016-03,2016,2016-03-21,14910.0,0.0,7.169988
56,2016-03-21,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.258534322820037,2016-03,2016,2016-03-21,22000.0,0.0,15.21662
57,2016-03-21,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.299715656655412,2016-03,2016,2016-03-21,22000.0,0.0,15.21662
58,2016-03-28,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.83349012229539,2016-03,2016,2016-03-28,43229.0,0.0,15.130192000000001
59,2016-03-28,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.69865470852018,2016-03,2016,2016-03-28,43229.0,0.0,15.130192000000001
60,2016-03-28,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.1334318181818182,2016-03,2016,2016-03-28,22000.0,0.0,15.130192000000001
61,2016-03-28,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미,자숙",1.4953262587491534,2016-03,2016,2016-03-28,44980.0,53976.0,15.130192000000001
62,2016-03-28,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.9928078729856693,2016-03,2016,2016-03-28,73500.0,73745.0,14.421185500000002
63,2016-04-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.9862068965517241,2016-04,2016,2016-04-04,5000.0,0.0,14.511276
64,2016-04-04,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.5222020431328036,2016-04,2016,2016-04-04,22050.0,0.0,14.944151000000002
65,2016-04-04,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.435595667870036,2016-04,2016,2016-04-04,22300.0,0.0,8.887569000000001
66,2016-04-04,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.008,2016-04,2016,2016-04-04,22000.0,0.0,14.944151000000002
67,2016-04-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.9750845165652468,2016-04,2016,2016-04-04,14000.0,0.0,14.511276
68,2016-04-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.7868911605532171,2016-04,2016,2016-04-04,31500.0,24360.0,14.511276
69,2016-04-11,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.0193333333333334,2016-04,2016,2016-04-11,1000.0,0.0,14.473189000000001
70,2016-04-11,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.9631550068587106,2016-04,2016,2016-04-11,350210.0,242831.0,8.545518
71,2016-04-11,수산물,중국,중국,외화획득용 원료,연체류 해물모듬,오징어,오징어,"냉동,동체",0.7405416120276905,2016-04,2016,2016-04-11,350210.0,242831.0,8.545518
72,2016-04-11,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.6685849782107152,2016-04,2016,2016-04-11,32500.0,21125.0,14.473189000000001
73,2016-04-11,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.972466985428051,2016-04,2016,2016-04-11,39000.0,39180.0,14.473189000000001
74,2016-04-18,수산물,칠레,칠레,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.5,2016-04,2016,2016-04-18,28700.0,30130.0,13.726095999999998
75,2016-04-18,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.0233899821109123,2016-04,2016,2016-04-18,28700.0,30130.0,13.726095999999998
76,2016-04-18,수산물,칠레,칠레,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",1.5,2016-04,2016,2016-04-18,40000.0,28420.0,13.726095999999998
77,2016-04-18,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.726770280515542,2016-04,2016,2016-04-18,40000.0,28420.0,13.726095999999998
78,2016-04-18,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미,자숙",1.4982896237172179,2016-04,2016,2016-04-18,22050.0,0.0,14.120884
79,2016-04-18,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.8195356651901635,2016-04,2016,2016-04-18,21100.0,0.0,14.120884
80,2016-04-25,수산물,대한민국,중국,판매용,연체류 해물모듬,오징어,오징어,냉동,2.152837380387558,2016-04,2016,2016-04-25,1822.0,0.0,9.529923
81,2016-04-25,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.0246783625730995,2016-04,2016,2016-04-25,5500.0,0.0,13.708518
82,2016-04-25,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.8438896746817539,2016-04,2016,2016-04-25,71100.0,53674.0,9.529923
83,2016-04-25,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.7761984861227923,2016-04,2016,2016-04-25,24700.0,0.0,13.708518
84,2016-04-25,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.053565539983512,2016-04,2016,2016-04-25,49000.0,0.0,13.708518
85,2016-05-02,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.3,2016-05,2016,2016-05-02,45000.0,58500.0,15.277413000000001
